Venue:,Capacity:,Timestamp:
MyFitness Lasnamäe Linnamäe,14%,2021-05-07 19:06:14.451612
MyFitness Lasnamäe Virbi,0%,2021-05-07 19:06:14.451613
MyFitness Mustamäe,23%,2021-05-07 19:06:14.451614
MyFitness Narva,4%,2021-05-07 19:06:14.451615
MyFitness Pirita,2%,2021-05-07 19:06:14.451616
MyFitness Postimaja,9%,2021-05-07 19:06:14.451617
MyFitness Rocca al Mare,28%,2021-05-07 19:06:14.451618
MyFitness Rävala,15%,2021-05-07 19:06:14.451619
MyFitness Solaris,0%,2021-05-07 19:06:14.451620
MyFitness Tartu Annelinn,4%,2021-05-07 19:06:14.451621
MyFitness Tartu Kesklinn,13%,2021-05-07 19:06:14.451622
MyFitness Tartu Lõunakeskus,2%,2021-05-07 19:06:14.451623
MyFitness Viimsi,20%,2021-05-07 19:06:14.451624
MyFitness Viljandi,7%,2021-05-07 19:06:14.451625
MyFitness Viru,10%,2021-05-07 19:06:14.451626
MyFitness Ülemiste City,20%,2021-05-07 19:06:14.451627
MyFitness Balti Jaama Turg,1%,2021-05-07 20:06:24.990606
MyFitness Järve,1%,2021-05-07 20:06:24.990609
MyFitness Kristiine,1%,2021-05-07 20:06:24.990610
MyFitness Lasnamäe Kärberi,2%,2021-05-07 20:06:24.990610
MyFitness Lasnamäe Linnamäe,5%,2021-05-07 20:06:24.990611
MyFitness Lasnamäe Virbi,0%,2021-05-07 20:06:24.990612
MyFitness Mustamäe,1%,2021-05-07 20:06:24.990613
MyFitness Narva,0%,2021-05-07 20:06:24.990613
MyFitness Pirita,2%,2021-05-07 20:06:24.990614
MyFitness Postimaja,2%,2021-05-07 20:06:24.990615
MyFitness Rocca al Mare,2%,2021-05-07 20:06:24.990615
MyFitness Rävala,0%,2021-05-07 20:06:24.990616
MyFitness Solaris,0%,2021-05-07 20:06:24.990616
MyFitness Tartu Annelinn,0%,2021-05-07 20:06:24.990617
MyFitness Tartu Kesklinn,1%,2021-05-07 20:06:24.990617
MyFitness Tartu Lõunakeskus,0%,2021-05-07 20:06:24.990618
MyFitness Viimsi,0%,2021-05-07 20:06:24.990618
MyFitness Viljandi,7%,2021-05-07 20:06:24.990619
MyFitness Viru,5%,2021-05-07 20:06:24.990619
MyFitness Ülemiste City,1%,2021-05-07 20:06:24.990620
MyFitness Viimsi,0%,2021-05-07 22:06:38.341208
MyFitness Viimsi,0%,2021-05-07 23:06:19.632622
MyFitness Viimsi,0%,2021-05-08 00:07:47.823741
MyFitness Viimsi,0%,2021-05-08 01:06:28.283111
MyFitness Viimsi,0%,2021-05-08 02:08:40.159889
MyFitness Viimsi,0%,2021-05-08 03:06:58.938336
MyFitness Viimsi,0%,2021-05-08 04:07:18.277379
MyFitness Tartu Kesklinn,1%,2021-05-08 05:07:42.193340
MyFitness Viimsi,0%,2021-05-08 05:07:42.193344
MyFitness Balti Jaama Turg,6%,2021-05-08 06:06:23.852927
MyFitness Järve,10%,2021-05-08 06:06:23.852931
MyFitness Kristiine,3%,2021-05-08 06:06:23.852932
MyFitness Lasnamäe Kärberi,6%,2021-05-08 06:06:23.852933
MyFitness Lasnamäe Linnamäe,5%,2021-05-08 06:06:23.852934
MyFitness Lasnamäe Virbi,1%,2021-05-08 06:06:23.852936
MyFitness Mustamäe,3%,2021-05-08 06:06:23.852937
MyFitness Narva,11%,2021-05-08 06:06:23.852937
MyFitness Pirita,12%,2021-05-08 06:06:23.852938
MyFitness Postimaja,3%,2021-05-08 06:06:23.852939
MyFitness Rocca al Mare,18%,2021-05-08 06:06:23.852940
MyFitness Rävala,7%,2021-05-08 06:06:23.852941
MyFitness Solaris,10%,2021-05-08 06:06:23.852942
MyFitness Tartu Annelinn,14%,2021-05-08 06:06:23.852943
MyFitness Tartu Kesklinn,9%,2021-05-08 06:06:23.852943
MyFitness Tartu Lõunakeskus,6%,2021-05-08 06:06:23.852944
MyFitness Viimsi,4%,2021-05-08 06:06:23.852945
MyFitness Viljandi,2%,2021-05-08 06:06:23.852946
MyFitness Ülemiste City,7%,2021-05-08 06:06:23.852947
MyFitness Balti Jaama Turg,28%,2021-05-08 07:06:34.326493
MyFitness Järve,19%,2021-05-08 07:06:34.326496
MyFitness Kristiine,21%,2021-05-08 07:06:34.326497
MyFitness Lasnamäe Kärberi,12%,2021-05-08 07:06:34.326498
MyFitness Lasnamäe Linnamäe,11%,2021-05-08 07:06:34.326499
MyFitness Lasnamäe Virbi,15%,2021-05-08 07:06:34.326500
MyFitness Mustamäe,28%,2021-05-08 07:06:34.326501
MyFitness Narva,18%,2021-05-08 07:06:34.326502
MyFitness Pirita,40%,2021-05-08 07:06:34.326503
MyFitness Postimaja,22%,2021-05-08 07:06:34.326504
MyFitness Rocca al Mare,56%,2021-05-08 07:06:34.326505
MyFitness Rävala,39%,2021-05-08 07:06:34.326506
MyFitness Solaris,7%,2021-05-08 07:06:34.326507
MyFitness Tartu Annelinn,35%,2021-05-08 07:06:34.326508
MyFitness Tartu Kesklinn,25%,2021-05-08 07:06:34.326509
MyFitness Tartu Lõunakeskus,25%,2021-05-08 07:06:34.326510
MyFitness Viimsi,23%,2021-05-08 07:06:34.326510
MyFitness Viljandi,18%,2021-05-08 07:06:34.326511
MyFitness Viru,7%,2021-05-08 07:06:34.326512
MyFitness Ülemiste City,29%,2021-05-08 07:06:34.326513
MyFitness Balti Jaama Turg,24%,2021-05-08 08:06:48.060111
MyFitness Järve,32%,2021-05-08 08:06:48.060115
MyFitness Kristiine,16%,2021-05-08 08:06:48.060116
MyFitness Lasnamäe Kärberi,15%,2021-05-08 08:06:48.060117
MyFitness Lasnamäe Linnamäe,24%,2021-05-08 08:06:48.060118
MyFitness Lasnamäe Virbi,21%,2021-05-08 08:06:48.060119
MyFitness Mustamäe,42%,2021-05-08 08:06:48.060120
MyFitness Narva,18%,2021-05-08 08:06:48.060121
MyFitness Pirita,25%,2021-05-08 08:06:48.060122
MyFitness Postimaja,20%,2021-05-08 08:06:48.060124
MyFitness Rocca al Mare,67%,2021-05-08 08:06:48.060124
MyFitness Rävala,48%,2021-05-08 08:06:48.060125
MyFitness Solaris,0%,2021-05-08 08:06:48.060126
MyFitness Tartu Annelinn,24%,2021-05-08 08:06:48.060127
MyFitness Tartu Kesklinn,22%,2021-05-08 08:06:48.060128
MyFitness Tartu Lõunakeskus,17%,2021-05-08 08:06:48.060129
MyFitness Viimsi,21%,2021-05-08 08:06:48.060130
MyFitness Viljandi,32%,2021-05-08 08:06:48.060131
MyFitness Viru,12%,2021-05-08 08:06:48.060132
MyFitness Ülemiste City,27%,2021-05-08 08:06:48.060133
MyFitness Balti Jaama Turg,33%,2021-05-08 09:06:19.171101
MyFitness Järve,30%,2021-05-08 09:06:19.171105
MyFitness Kristiine,24%,2021-05-08 09:06:19.171106
MyFitness Lasnamäe Kärberi,27%,2021-05-08 09:06:19.171107
MyFitness Lasnamäe Linnamäe,43%,2021-05-08 09:06:19.171108
MyFitness Lasnamäe Virbi,18%,2021-05-08 09:06:19.171109
MyFitness Mustamäe,24%,2021-05-08 09:06:19.171110
MyFitness Narva,36%,2021-05-08 09:06:19.171111
MyFitness Pirita,25%,2021-05-08 09:06:19.171112
MyFitness Postimaja,17%,2021-05-08 09:06:19.171113
MyFitness Rocca al Mare,74%,2021-05-08 09:06:19.171114
MyFitness Rävala,55%,2021-05-08 09:06:19.171115
MyFitness Solaris,14%,2021-05-08 09:06:19.171116
MyFitness Tartu Annelinn,40%,2021-05-08 09:06:19.171117
MyFitness Tartu Kesklinn,25%,2021-05-08 09:06:19.171118
MyFitness Tartu Lõunakeskus,23%,2021-05-08 09:06:19.171119
MyFitness Viimsi,19%,2021-05-08 09:06:19.171119
MyFitness Viljandi,36%,2021-05-08 09:06:19.171120
MyFitness Viru,13%,2021-05-08 09:06:19.171120
MyFitness Ülemiste City,17%,2021-05-08 09:06:19.171121
MyFitness Balti Jaama Turg,37%,2021-05-08 10:06:23.511027
MyFitness Järve,26%,2021-05-08 10:06:23.511031
MyFitness Kristiine,39%,2021-05-08 10:06:23.511032
MyFitness Lasnamäe Kärberi,21%,2021-05-08 10:06:23.511033
MyFitness Lasnamäe Linnamäe,22%,2021-05-08 10:06:23.511034
MyFitness Lasnamäe Virbi,7%,2021-05-08 10:06:23.511035
MyFitness Mustamäe,28%,2021-05-08 10:06:23.511036
MyFitness Narva,32%,2021-05-08 10:06:23.511037
MyFitness Pirita,17%,2021-05-08 10:06:23.511038
MyFitness Postimaja,17%,2021-05-08 10:06:23.511039
MyFitness Rocca al Mare,42%,2021-05-08 10:06:23.511040
MyFitness Rävala,47%,2021-05-08 10:06:23.511041
MyFitness Solaris,26%,2021-05-08 10:06:23.511042
MyFitness Tartu Annelinn,43%,2021-05-08 10:06:23.511043
MyFitness Tartu Kesklinn,32%,2021-05-08 10:06:23.511044
MyFitness Tartu Lõunakeskus,35%,2021-05-08 10:06:23.511045
MyFitness Viimsi,19%,2021-05-08 10:06:23.511046
MyFitness Viljandi,27%,2021-05-08 10:06:23.511046
MyFitness Viru,23%,2021-05-08 10:06:23.511047
MyFitness Ülemiste City,35%,2021-05-08 10:06:23.511048
MyFitness Balti Jaama Turg,33%,2021-05-08 11:06:16.450078
MyFitness Järve,40%,2021-05-08 11:06:16.450081
MyFitness Kristiine,18%,2021-05-08 11:06:16.450082
MyFitness Lasnamäe Kärberi,21%,2021-05-08 11:06:16.450084
MyFitness Lasnamäe Linnamäe,33%,2021-05-08 11:06:16.450085
MyFitness Lasnamäe Virbi,13%,2021-05-08 11:06:16.450086
MyFitness Mustamäe,24%,2021-05-08 11:06:16.450087
MyFitness Narva,14%,2021-05-08 11:06:16.450087
MyFitness Pirita,22%,2021-05-08 11:06:16.450088
MyFitness Postimaja,18%,2021-05-08 11:06:16.450089
MyFitness Rocca al Mare,52%,2021-05-08 11:06:16.450090
MyFitness Rävala,40%,2021-05-08 11:06:16.450091
MyFitness Solaris,21%,2021-05-08 11:06:16.450092
MyFitness Tartu Annelinn,51%,2021-05-08 11:06:16.450093
MyFitness Tartu Kesklinn,28%,2021-05-08 11:06:16.450094
MyFitness Tartu Lõunakeskus,38%,2021-05-08 11:06:16.450095
MyFitness Viimsi,20%,2021-05-08 11:06:16.450096
MyFitness Viljandi,23%,2021-05-08 11:06:16.450097
MyFitness Viru,20%,2021-05-08 11:06:16.450097
MyFitness Ülemiste City,23%,2021-05-08 11:06:16.450098
MyFitness Balti Jaama Turg,28%,2021-05-08 12:06:51.627426
MyFitness Järve,25%,2021-05-08 12:06:51.627429
MyFitness Kristiine,14%,2021-05-08 12:06:51.627430
MyFitness Lasnamäe Kärberi,11%,2021-05-08 12:06:51.627430
MyFitness Lasnamäe Linnamäe,22%,2021-05-08 12:06:51.627431
MyFitness Lasnamäe Virbi,10%,2021-05-08 12:06:51.627432
MyFitness Mustamäe,16%,2021-05-08 12:06:51.627433
MyFitness Narva,20%,2021-05-08 12:06:51.627433
MyFitness Pirita,18%,2021-05-08 12:06:51.627434
MyFitness Postimaja,15%,2021-05-08 12:06:51.627435
MyFitness Rocca al Mare,58%,2021-05-08 12:06:51.627435
MyFitness Rävala,33%,2021-05-08 12:06:51.627436
MyFitness Solaris,17%,2021-05-08 12:06:51.627436
MyFitness Tartu Annelinn,31%,2021-05-08 12:06:51.627437
MyFitness Tartu Kesklinn,28%,2021-05-08 12:06:51.627438
MyFitness Tartu Lõunakeskus,17%,2021-05-08 12:06:51.627438
MyFitness Viimsi,23%,2021-05-08 12:06:51.627439
MyFitness Viljandi,27%,2021-05-08 12:06:51.627439
MyFitness Viru,23%,2021-05-08 12:06:51.627440
MyFitness Ülemiste City,28%,2021-05-08 12:06:51.627440
MyFitness Balti Jaama Turg,27%,2021-05-08 13:06:26.123728
MyFitness Järve,31%,2021-05-08 13:06:26.123732
MyFitness Kristiine,16%,2021-05-08 13:06:26.123733
MyFitness Lasnamäe Kärberi,8%,2021-05-08 13:06:26.123734
MyFitness Lasnamäe Linnamäe,11%,2021-05-08 13:06:26.123735
MyFitness Lasnamäe Virbi,13%,2021-05-08 13:06:26.123737
MyFitness Mustamäe,19%,2021-05-08 13:06:26.123737
MyFitness Narva,27%,2021-05-08 13:06:26.123739
MyFitness Pirita,20%,2021-05-08 13:06:26.123740
MyFitness Postimaja,12%,2021-05-08 13:06:26.123741
MyFitness Rocca al Mare,55%,2021-05-08 13:06:26.123741
MyFitness Rävala,40%,2021-05-08 13:06:26.123742
MyFitness Solaris,17%,2021-05-08 13:06:26.123743
MyFitness Tartu Annelinn,31%,2021-05-08 13:06:26.123744
MyFitness Tartu Kesklinn,28%,2021-05-08 13:06:26.123745
MyFitness Tartu Lõunakeskus,17%,2021-05-08 13:06:26.123745
MyFitness Viimsi,19%,2021-05-08 13:06:26.123747
MyFitness Viljandi,23%,2021-05-08 13:06:26.123748
MyFitness Viru,10%,2021-05-08 13:06:26.123749
MyFitness Ülemiste City,23%,2021-05-08 13:06:26.123749
MyFitness Balti Jaama Turg,24%,2021-05-08 14:06:27.884502
MyFitness Järve,24%,2021-05-08 14:06:27.884506
MyFitness Kristiine,12%,2021-05-08 14:06:27.884507
MyFitness Lasnamäe Kärberi,10%,2021-05-08 14:06:27.884509
MyFitness Lasnamäe Linnamäe,16%,2021-05-08 14:06:27.884510
MyFitness Lasnamäe Virbi,4%,2021-05-08 14:06:27.884511
MyFitness Mustamäe,23%,2021-05-08 14:06:27.884512
MyFitness Narva,23%,2021-05-08 14:06:27.884512
MyFitness Pirita,8%,2021-05-08 14:06:27.884513
MyFitness Postimaja,15%,2021-05-08 14:06:27.884515
MyFitness Rocca al Mare,62%,2021-05-08 14:06:27.884515
MyFitness Rävala,24%,2021-05-08 14:06:27.884516
MyFitness Solaris,14%,2021-05-08 14:06:27.884517
MyFitness Tartu Annelinn,32%,2021-05-08 14:06:27.884518
MyFitness Tartu Kesklinn,18%,2021-05-08 14:06:27.884519
MyFitness Tartu Lõunakeskus,15%,2021-05-08 14:06:27.884520
MyFitness Viimsi,8%,2021-05-08 14:06:27.884520
MyFitness Viljandi,7%,2021-05-08 14:06:27.884521
MyFitness Viru,12%,2021-05-08 14:06:27.884522
MyFitness Ülemiste City,28%,2021-05-08 14:06:27.884523
MyFitness Balti Jaama Turg,18%,2021-05-08 15:06:14.872890
MyFitness Järve,17%,2021-05-08 15:06:14.872893
MyFitness Kristiine,5%,2021-05-08 15:06:14.872894
MyFitness Lasnamäe Kärberi,7%,2021-05-08 15:06:14.872895
MyFitness Lasnamäe Linnamäe,13%,2021-05-08 15:06:14.872895
MyFitness Lasnamäe Virbi,6%,2021-05-08 15:06:14.872896
MyFitness Mustamäe,18%,2021-05-08 15:06:14.872897
MyFitness Narva,18%,2021-05-08 15:06:14.872897
MyFitness Pirita,17%,2021-05-08 15:06:14.872898
MyFitness Postimaja,12%,2021-05-08 15:06:14.872899
MyFitness Rocca al Mare,42%,2021-05-08 15:06:14.872899
MyFitness Rävala,24%,2021-05-08 15:06:14.872900
MyFitness Solaris,10%,2021-05-08 15:06:14.872901
MyFitness Tartu Annelinn,19%,2021-05-08 15:06:14.872901
MyFitness Tartu Kesklinn,20%,2021-05-08 15:06:14.872902
MyFitness Tartu Lõunakeskus,21%,2021-05-08 15:06:14.872902
MyFitness Viimsi,10%,2021-05-08 15:06:14.872903
MyFitness Viljandi,9%,2021-05-08 15:06:14.872903
MyFitness Viru,18%,2021-05-08 15:06:14.872904
MyFitness Ülemiste City,22%,2021-05-08 15:06:14.872904
MyFitness Balti Jaama Turg,18%,2021-05-08 16:06:37.579757
MyFitness Järve,22%,2021-05-08 16:06:37.579761
MyFitness Kristiine,9%,2021-05-08 16:06:37.579762
MyFitness Lasnamäe Kärberi,6%,2021-05-08 16:06:37.579763
MyFitness Lasnamäe Linnamäe,15%,2021-05-08 16:06:37.579764
MyFitness Lasnamäe Virbi,7%,2021-05-08 16:06:37.579765
MyFitness Mustamäe,14%,2021-05-08 16:06:37.579766
MyFitness Narva,20%,2021-05-08 16:06:37.579767
MyFitness Pirita,23%,2021-05-08 16:06:37.579769
MyFitness Postimaja,18%,2021-05-08 16:06:37.579770
MyFitness Rocca al Mare,46%,2021-05-08 16:06:37.579771
MyFitness Rävala,35%,2021-05-08 16:06:37.579772
MyFitness Solaris,12%,2021-05-08 16:06:37.579773
MyFitness Tartu Annelinn,13%,2021-05-08 16:06:37.579774
MyFitness Tartu Kesklinn,25%,2021-05-08 16:06:37.579774
MyFitness Tartu Lõunakeskus,15%,2021-05-08 16:06:37.579775
MyFitness Viimsi,19%,2021-05-08 16:06:37.579776
MyFitness Viljandi,11%,2021-05-08 16:06:37.579777
MyFitness Viru,13%,2021-05-08 16:06:37.579778
MyFitness Ülemiste City,30%,2021-05-08 16:06:37.579779
MyFitness Balti Jaama Turg,10%,2021-05-08 17:06:27.818039
MyFitness Järve,20%,2021-05-08 17:06:27.818043
MyFitness Kristiine,11%,2021-05-08 17:06:27.818044
MyFitness Lasnamäe Kärberi,3%,2021-05-08 17:06:27.818045
MyFitness Lasnamäe Linnamäe,19%,2021-05-08 17:06:27.818046
MyFitness Lasnamäe Virbi,15%,2021-05-08 17:06:27.818047
MyFitness Mustamäe,26%,2021-05-08 17:06:27.818048
MyFitness Narva,23%,2021-05-08 17:06:27.818049
MyFitness Pirita,20%,2021-05-08 17:06:27.818050
MyFitness Postimaja,14%,2021-05-08 17:06:27.818051
MyFitness Rocca al Mare,50%,2021-05-08 17:06:27.818052
MyFitness Rävala,43%,2021-05-08 17:06:27.818053
MyFitness Solaris,2%,2021-05-08 17:06:27.818054
MyFitness Tartu Annelinn,17%,2021-05-08 17:06:27.818055
MyFitness Tartu Kesklinn,21%,2021-05-08 17:06:27.818056
MyFitness Tartu Lõunakeskus,6%,2021-05-08 17:06:27.818057
MyFitness Viimsi,17%,2021-05-08 17:06:27.818057
MyFitness Viljandi,0%,2021-05-08 17:06:27.818058
MyFitness Viru,10%,2021-05-08 17:06:27.818059
MyFitness Ülemiste City,32%,2021-05-08 17:06:27.818060
MyFitness Balti Jaama Turg,4%,2021-05-08 18:06:28.871316
MyFitness Järve,0%,2021-05-08 18:06:28.871320
MyFitness Kristiine,3%,2021-05-08 18:06:28.871321
MyFitness Lasnamäe Kärberi,0%,2021-05-08 18:06:28.871322
MyFitness Lasnamäe Linnamäe,4%,2021-05-08 18:06:28.871323
MyFitness Lasnamäe Virbi,1%,2021-05-08 18:06:28.871324
MyFitness Mustamäe,1%,2021-05-08 18:06:28.871325
MyFitness Narva,0%,2021-05-08 18:06:28.871326
MyFitness Pirita,0%,2021-05-08 18:06:28.871326
MyFitness Postimaja,2%,2021-05-08 18:06:28.871327
MyFitness Rocca al Mare,5%,2021-05-08 18:06:28.871328
MyFitness Rävala,3%,2021-05-08 18:06:28.871329
MyFitness Solaris,0%,2021-05-08 18:06:28.871330
MyFitness Tartu Annelinn,0%,2021-05-08 18:06:28.871331
MyFitness Tartu Kesklinn,3%,2021-05-08 18:06:28.871332
MyFitness Tartu Lõunakeskus,0%,2021-05-08 18:06:28.871333
MyFitness Viimsi,2%,2021-05-08 18:06:28.871334
MyFitness Viljandi,0%,2021-05-08 18:06:28.871335
MyFitness Viru,2%,2021-05-08 18:06:28.871336
MyFitness Ülemiste City,2%,2021-05-08 18:06:28.871337
MyFitness Balti Jaama Turg,0%,2021-05-08 19:06:15.893752
MyFitness Järve,0%,2021-05-08 19:06:15.893756
MyFitness Kristiine,0%,2021-05-08 19:06:15.893756
MyFitness Lasnamäe Kärberi,0%,2021-05-08 19:06:15.893757
MyFitness Lasnamäe Linnamäe,3%,2021-05-08 19:06:15.893758
MyFitness Lasnamäe Virbi,0%,2021-05-08 19:06:15.893758
MyFitness Mustamäe,0%,2021-05-08 19:06:15.893759
MyFitness Narva,0%,2021-05-08 19:06:15.893759
MyFitness Pirita,0%,2021-05-08 19:06:15.893760
MyFitness Postimaja,0%,2021-05-08 19:06:15.893761
MyFitness Rocca al Mare,3%,2021-05-08 19:06:15.893761
MyFitness Rävala,0%,2021-05-08 19:06:15.893762
MyFitness Solaris,0%,2021-05-08 19:06:15.893762
MyFitness Tartu Annelinn,0%,2021-05-08 19:06:15.893763
MyFitness Tartu Kesklinn,0%,2021-05-08 19:06:15.893763
MyFitness Tartu Lõunakeskus,0%,2021-05-08 19:06:15.893764
MyFitness Viimsi,1%,2021-05-08 19:06:15.893764
MyFitness Viljandi,0%,2021-05-08 19:06:15.893765
MyFitness Viru,2%,2021-05-08 19:06:15.893765
MyFitness Ülemiste City,1%,2021-05-08 19:06:15.893766
MyFitness Balti Jaama Turg,0%,2021-05-08 20:06:23.011468
MyFitness Järve,0%,2021-05-08 20:06:23.011472
MyFitness Kristiine,0%,2021-05-08 20:06:23.011473
MyFitness Lasnamäe Kärberi,0%,2021-05-08 20:06:23.011474
MyFitness Lasnamäe Linnamäe,0%,2021-05-08 20:06:23.011475
MyFitness Lasnamäe Virbi,0%,2021-05-08 20:06:23.011476
MyFitness Mustamäe,0%,2021-05-08 20:06:23.011477
MyFitness Narva,0%,2021-05-08 20:06:23.011479
MyFitness Pirita,0%,2021-05-08 20:06:23.011480
MyFitness Postimaja,0%,2021-05-08 20:06:23.011481
MyFitness Rocca al Mare,3%,2021-05-08 20:06:23.011482
MyFitness Rävala,0%,2021-05-08 20:06:23.011483
MyFitness Solaris,0%,2021-05-08 20:06:23.011484
MyFitness Tartu Annelinn,0%,2021-05-08 20:06:23.011485
MyFitness Tartu Kesklinn,0%,2021-05-08 20:06:23.011486
MyFitness Tartu Lõunakeskus,0%,2021-05-08 20:06:23.011487
MyFitness Viimsi,0%,2021-05-08 20:06:23.011488
MyFitness Viljandi,0%,2021-05-08 20:06:23.011489
MyFitness Viru,2%,2021-05-08 20:06:23.011490
MyFitness Ülemiste City,0%,2021-05-08 20:06:23.011491
MyFitness Balti Jaama Turg,4%,2021-05-09 06:06:48.782537
MyFitness Järve,8%,2021-05-09 06:06:48.782541
MyFitness Kristiine,5%,2021-05-09 06:06:48.782542
MyFitness Lasnamäe Linnamäe,5%,2021-05-09 06:06:48.782543
MyFitness Lasnamäe Virbi,3%,2021-05-09 06:06:48.782544
MyFitness Mustamäe,5%,2021-05-09 06:06:48.782545
MyFitness Narva,13%,2021-05-09 06:06:48.782546
MyFitness Pirita,3%,2021-05-09 06:06:48.782546
MyFitness Postimaja,2%,2021-05-09 06:06:48.782547
MyFitness Rocca al Mare,14%,2021-05-09 06:06:48.782548
MyFitness Rävala,4%,2021-05-09 06:06:48.782549
MyFitness Solaris,5%,2021-05-09 06:06:48.782550
MyFitness Tartu Annelinn,11%,2021-05-09 06:06:48.782551
MyFitness Tartu Kesklinn,1%,2021-05-09 06:06:48.782552
MyFitness Tartu Lõunakeskus,2%,2021-05-09 06:06:48.782552
MyFitness Viimsi,3%,2021-05-09 06:06:48.782553
MyFitness Viljandi,2%,2021-05-09 06:06:48.782554
MyFitness Viru,5%,2021-05-09 06:06:48.782554
MyFitness Ülemiste City,5%,2021-05-09 06:06:48.782555
MyFitness Balti Jaama Turg,19%,2021-05-09 07:06:50.401294
MyFitness Järve,12%,2021-05-09 07:06:50.401298
MyFitness Kristiine,9%,2021-05-09 07:06:50.401299
MyFitness Lasnamäe Kärberi,9%,2021-05-09 07:06:50.401300
MyFitness Lasnamäe Linnamäe,11%,2021-05-09 07:06:50.401301
MyFitness Lasnamäe Virbi,12%,2021-05-09 07:06:50.401302
MyFitness Mustamäe,30%,2021-05-09 07:06:50.401303
MyFitness Narva,29%,2021-05-09 07:06:50.401304
MyFitness Pirita,13%,2021-05-09 07:06:50.401305
MyFitness Postimaja,20%,2021-05-09 07:06:50.401305
MyFitness Rocca al Mare,49%,2021-05-09 07:06:50.401306
MyFitness Rävala,19%,2021-05-09 07:06:50.401307
MyFitness Solaris,12%,2021-05-09 07:06:50.401308
MyFitness Tartu Annelinn,28%,2021-05-09 07:06:50.401308
MyFitness Tartu Kesklinn,20%,2021-05-09 07:06:50.401309
MyFitness Tartu Lõunakeskus,8%,2021-05-09 07:06:50.401310
MyFitness Viimsi,13%,2021-05-09 07:06:50.401311
MyFitness Viljandi,11%,2021-05-09 07:06:50.401311
MyFitness Viru,8%,2021-05-09 07:06:50.401312
MyFitness Ülemiste City,21%,2021-05-09 07:06:50.401313
MyFitness Balti Jaama Turg,30%,2021-05-09 08:06:43.081038
MyFitness Järve,16%,2021-05-09 08:06:43.081042
MyFitness Kristiine,20%,2021-05-09 08:06:43.081043
MyFitness Lasnamäe Kärberi,9%,2021-05-09 08:06:43.081044
MyFitness Lasnamäe Linnamäe,10%,2021-05-09 08:06:43.081046
MyFitness Lasnamäe Virbi,21%,2021-05-09 08:06:43.081047
MyFitness Mustamäe,19%,2021-05-09 08:06:43.081048
MyFitness Narva,18%,2021-05-09 08:06:43.081050
MyFitness Pirita,15%,2021-05-09 08:06:43.081051
MyFitness Postimaja,11%,2021-05-09 08:06:43.081052
MyFitness Rocca al Mare,54%,2021-05-09 08:06:43.081053
MyFitness Rävala,21%,2021-05-09 08:06:43.081055
MyFitness Solaris,2%,2021-05-09 08:06:43.081056
MyFitness Tartu Annelinn,13%,2021-05-09 08:06:43.081057
MyFitness Tartu Kesklinn,12%,2021-05-09 08:06:43.081058
MyFitness Tartu Lõunakeskus,8%,2021-05-09 08:06:43.081059
MyFitness Viimsi,17%,2021-05-09 08:06:43.081060
MyFitness Viljandi,34%,2021-05-09 08:06:43.081061
MyFitness Viru,7%,2021-05-09 08:06:43.081062
MyFitness Ülemiste City,17%,2021-05-09 08:06:43.081063
MyFitness Balti Jaama Turg,22%,2021-05-09 09:06:20.078223
MyFitness Järve,22%,2021-05-09 09:06:20.078228
MyFitness Kristiine,16%,2021-05-09 09:06:20.078229
MyFitness Lasnamäe Kärberi,8%,2021-05-09 09:06:20.078230
MyFitness Lasnamäe Linnamäe,11%,2021-05-09 09:06:20.078231
MyFitness Lasnamäe Virbi,16%,2021-05-09 09:06:20.078232
MyFitness Mustamäe,16%,2021-05-09 09:06:20.078233
MyFitness Narva,27%,2021-05-09 09:06:20.078234
MyFitness Pirita,18%,2021-05-09 09:06:20.078235
MyFitness Postimaja,6%,2021-05-09 09:06:20.078236
MyFitness Rocca al Mare,55%,2021-05-09 09:06:20.078237
MyFitness Rävala,37%,2021-05-09 09:06:20.078238
MyFitness Solaris,7%,2021-05-09 09:06:20.078239
MyFitness Tartu Annelinn,19%,2021-05-09 09:06:20.078240
MyFitness Tartu Kesklinn,13%,2021-05-09 09:06:20.078241
MyFitness Tartu Lõunakeskus,15%,2021-05-09 09:06:20.078241
MyFitness Viimsi,17%,2021-05-09 09:06:20.078242
